date,TA1,power
2018-01-01 00:00:00,15.8,12.8
2018-01-01 00:10:00,15.7,12.8
2018-01-01 00:20:00,15.6,12.7
2018-01-01 00:30:00,15.5,12.4
2018-01-01 00:40:00,15.4,12.4
2018-01-01 00:50:00,15.25,12.4
2018-01-01 01:00:00,15.1,12.5
2018-01-01 01:10:00,15.02,12.3
2018-01-01 01:20:00,14.95,12.6
2018-01-01 01:30:00,14.82,13.0
2018-01-01 01:40:00,14.625,12.6
2018-01-01 01:50:00,14.48,12.7
2018-01-01 02:00:00,14.2,12.8
2018-01-01 02:10:00,14.0,12.4
2018-01-01 02:20:00,13.74,12.2
2018-01-01 02:30:00,13.48,12.4
2018-01-01 02:40:00,13.4,12.4
2018-01-01 02:50:00,13.34,12.3
2018-01-01 03:00:00,13.1,12.5
2018-01-01 03:10:00,12.72,12.5
2018-01-01 03:20:00,12.5,12.4
2018-01-01 03:30:00,12.4,12.3
2018-01-01 03:40:00,12.14,12.5
2018-01-01 03:50:00,12.1,12.5
2018-01-01 04:00:00,12.1,12.2
2018-01-01 04:10:00,11.64,12.6
2018-01-01 04:20:00,11.34,12.9
2018-01-01 04:30:00,11.36,12.7
2018-01-01 04:40:00,11.6,12.8
2018-01-01 04:50:00,11.7,12.7
2018-01-01 05:00:00,11.5,12.5
2018-01-01 05:10:00,11.7,12.5
2018-01-01 05:20:00,11.8,12.5
2018-01-01 05:30:00,11.48,12.6
2018-01-01 05:40:00,11.06,12.6
2018-01-01 05:50:00,10.6,13.1
2018-01-01 06:00:00,10.45,15.3
2018-01-01 06:10:00,10.16,15.1
2018-01-01 06:20:00,10.0,15.4
2018-01-01 06:30:00,9.94,15.9
2018-01-01 06:40:00,9.925,15.9
2018-01-01 06:50:00,10.06,15.6
2018-01-01 07:00:00,9.72,15.7
2018-01-01 07:10:00,9.52,15.5
2018-01-01 07:20:00,9.5,15.4
2018-01-01 07:30:00,9.419999999999998,15.4
2018-01-01 07:40:00,9.6,15.8
2018-01-01 07:50:00,9.74,15.9
2018-01-01 08:00:00,9.58,15.6
2018-01-01 08:10:00,9.9,15.4
2018-01-01 08:20:00,10.1,14.4
