,TA1,date,power
0,15.8,2018-01-01 00:00:00,12.8
1,15.7,2018-01-01 00:10:00,12.8
2,15.6,2018-01-01 00:20:00,12.7
3,15.5,2018-01-01 00:30:00,12.4
4,15.4,2018-01-01 00:40:00,12.4
5,15.25,2018-01-01 00:50:00,12.4
6,15.1,2018-01-01 01:00:00,12.5
7,15.02,2018-01-01 01:10:00,12.3
8,14.95,2018-01-01 01:20:00,12.6
9,14.82,2018-01-01 01:30:00,13.0
10,14.625,2018-01-01 01:40:00,12.6
11,14.48,2018-01-01 01:50:00,12.7
12,14.2,2018-01-01 02:00:00,12.8
13,14.0,2018-01-01 02:10:00,12.4
14,13.74,2018-01-01 02:20:00,12.2
15,13.48,2018-01-01 02:30:00,12.4
16,13.4,2018-01-01 02:40:00,12.4
17,13.34,2018-01-01 02:50:00,12.3
18,13.1,2018-01-01 03:00:00,12.5
19,12.72,2018-01-01 03:10:00,12.5
20,12.5,2018-01-01 03:20:00,12.4
21,12.4,2018-01-01 03:30:00,12.3
22,12.14,2018-01-01 03:40:00,12.5
23,12.1,2018-01-01 03:50:00,12.5
24,12.1,2018-01-01 04:00:00,12.2
25,11.64,2018-01-01 04:10:00,12.6
26,11.34,2018-01-01 04:20:00,12.9
27,11.36,2018-01-01 04:30:00,12.7
28,11.6,2018-01-01 04:40:00,12.8
29,11.7,2018-01-01 04:50:00,12.7
30,11.5,2018-01-01 05:00:00,12.5
31,11.7,2018-01-01 05:10:00,12.5
32,11.8,2018-01-01 05:20:00,12.5
33,11.48,2018-01-01 05:30:00,12.6
34,11.06,2018-01-01 05:40:00,12.6
35,10.6,2018-01-01 05:50:00,13.1
36,10.45,2018-01-01 06:00:00,15.3
37,10.16,2018-01-01 06:10:00,15.1
38,10.0,2018-01-01 06:20:00,15.4
39,9.94,2018-01-01 06:30:00,15.9
40,9.925,2018-01-01 06:40:00,15.9
41,10.06,2018-01-01 06:50:00,15.6
42,9.72,2018-01-01 07:00:00,15.7
43,9.52,2018-01-01 07:10:00,15.5
44,9.5,2018-01-01 07:20:00,15.4
45,9.419999999999998,2018-01-01 07:30:00,15.4
46,9.6,2018-01-01 07:40:00,15.8
47,9.74,2018-01-01 07:50:00,15.9
48,9.58,2018-01-01 08:00:00,15.6
49,9.9,2018-01-01 08:10:00,15.4
50,10.1,2018-01-01 08:20:00,14.4
51,10.28,2018-01-01 08:30:00,13.7
52,10.04,2018-01-01 08:40:00,13.5
53,9.92,2018-01-01 08:50:00,13.4
54,10.32,2018-01-01 09:00:00,14.4
55,10.96,2018-01-01 09:10:00,14.3
56,11.74,2018-01-01 09:20:00,13.3
57,12.46,2018-01-01 09:30:00,13.6
58,12.86,2018-01-01 09:40:00,13.5
59,12.88,2018-01-01 09:50:00,13.3
60,13.1,2018-01-01 10:00:00,13.5
61,13.38,2018-01-01 10:10:00,13.3
62,13.2,2018-01-01 10:20:00,13.2
63,13.28,2018-01-01 10:30:00,13.2
64,13.3,2018-01-01 10:40:00,13.2
65,13.6,2018-01-01 10:50:00,13.1
66,13.919999999999998,2018-01-01 11:00:00,13.1
67,14.233333333333334,2018-01-01 11:10:00,13.1
68,14.24,2018-01-01 11:20:00,13.3
69,14.32,2018-01-01 11:30:00,13.6
70,14.34,2018-01-01 11:40:00,14.3
71,15.14,2018-01-01 11:50:00,13.6
72,15.78,2018-01-01 12:00:00,13.3
73,16.68,2018-01-01 12:10:00,13.3
74,15.84,2018-01-01 12:20:00,13.1
75,15.9,2018-01-01 12:30:00,13.1
76,15.94,2018-01-01 12:40:00,13.7
77,15.48,2018-01-01 12:50:00,13.6
78,15.580000000000002,2018-01-01 13:00:00,13.2
79,16.04,2018-01-01 13:10:00,13.1
80,16.46,2018-01-01 13:20:00,13.5
