date,power
01/01/2018 0:00,12.8
01/01/2018 0:10,12.8
01/01/2018 0:20,12.7
01/01/2018 0:30,12.4
01/01/2018 0:40,12.4
01/01/2018 0:50,12.4
01/01/2018 1:00,12.5
01/01/2018 1:10,12.3
01/01/2018 1:20,12.6
01/01/2018 1:30,13.0
01/01/2018 1:40,12.6
01/01/2018 1:50,12.7
01/01/2018 2:00,12.8
01/01/2018 2:10,12.4
01/01/2018 2:20,12.2
01/01/2018 2:30,12.4
01/01/2018 2:40,12.4
01/01/2018 2:50,12.3
01/01/2018 3:00,12.5
01/01/2018 3:10,12.5
01/01/2018 3:20,12.4
01/01/2018 3:30,12.3
01/01/2018 3:40,12.5
01/01/2018 3:50,12.5
01/01/2018 4:00,12.2
01/01/2018 4:10,12.6
01/01/2018 4:20,12.9
01/01/2018 4:30,12.7
01/01/2018 4:40,12.8
01/01/2018 4:50,12.7
01/01/2018 5:00,12.5
01/01/2018 5:10,12.5
01/01/2018 5:20,12.5
01/01/2018 5:30,12.6
01/01/2018 5:40,12.6
01/01/2018 5:50,13.1
01/01/2018 6:00,15.3
01/01/2018 6:10,15.1
01/01/2018 6:20,15.4
01/01/2018 6:30,15.9
01/01/2018 6:40,15.9
01/01/2018 6:50,15.6
01/01/2018 7:00,15.7
01/01/2018 7:10,15.5
01/01/2018 7:20,15.4
01/01/2018 7:30,15.4
01/01/2018 7:40,15.8
01/01/2018 7:50,15.9
01/01/2018 8:00,15.6
01/01/2018 8:10,15.4
01/01/2018 8:20,14.4
01/01/2018 8:30,13.7
01/01/2018 8:40,13.5
01/01/2018 8:50,13.4
01/01/2018 9:00,14.4
01/01/2018 9:10,14.3
01/01/2018 9:20,13.3
01/01/2018 9:30,13.6
01/01/2018 9:40,13.5
01/01/2018 9:50,13.3
01/01/2018 10:00,13.5
01/01/2018 10:10,13.3
01/01/2018 10:20,13.2
01/01/2018 10:30,13.2
01/01/2018 10:40,13.2
01/01/2018 10:50,13.1
01/01/2018 11:00,13.1
01/01/2018 11:10,13.1
01/01/2018 11:20,13.3
01/01/2018 11:30,13.6
